"Longitude","Latitude"
-96.2831551,17.6990399
-94.9753552,18.3871915
-92.14463,15.148103
-100.2580226,25.5655468
-96.32802,17.67892
-88.7815283,18.7594483
-88.8121633,18.6291983
-97.369901,21.462274
-94.7520268,17.2052354
-88.824407,18.521576
-104.8019743,20.3105307
-104.964104,20.808799
-88.16531,18.92864
-88.7915039,18.4193507
-103.7603545,19.3611542
-91.1278367,16.7576394
-97.4973321,19.8501004
-105.1538323,21.5055583
-105.132116,21.644359
-88.050294,19.410452
-91.3461471,16.2033159
-88.1430101,20.6433065
-88.3552173,19.250415
-89.3685007,17.8727331
-92.9579401,15.2855098
-105.3151131,20.9617602
-88.1812906,19.1355012
-89.571147,18.532921
-87.4808291,21.1013119
-91.16929,16.227545
-91.280614,16.244325
-87.9350521,21.2254117
-89.4526721,18.1455915
-89.1685913,20.0301721
-88.37361,20.19583
-96.4783502,17.3010669
-96.4641613,19.3437027
-97.0150548,19.5050874
-94.77792,17.154677
-105.0720888,21.4512201
-95.0739455,18.5850875
-99.1474957,22.9877907
-95.463963,16.738497
-105.4879761,22.5024075
-88.7181203,21.1942167
-88.4546614,19.1971978
-104.8259854,20.7304937
-87.6203078,20.8778378
-105.959336,23.350049
-88.6685454,18.8471453
-87.2870421,20.4429378
-105.9350681,23.3968423
-92.1333647,17.8728147
-93.0779555,16.7927785
-95.8312082,17.7830777
-88.1530996,21.320521
-88.167918,21.195159
-88.6525796,19.0814123
-88.6031025,19.1149983
-97.0188725,19.3599171
-96.8275609,19.3750809
-93.6582585,15.9522685
-95.0171414,18.5141848
-88.4228035,19.0543384
-89.182056,20.791315
-93.524958,16.758637
-105.1854265,20.8643967
-98.8888514,21.9374486
-92.2530448,14.9507504
